Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-5-2020,1773960-Tuck.com LLC-tuck.com,15,$174.30,0,$174.30,1,0,$34.86,6.67,$232.40,$174.30,1773960,"Tuck.com, LLC",tuck.com,1,0,0,0,0,0,$34.86,$0.00,$0.00,$0.00,$0.00,$0.00,$6.97
9-5-2020,748814-Reviewed.com-www.reviewed.com,7,$169.00,0,$169.00,1,0,$30.42,14.29,$434.57,$169.00,748814,Reviewed.com,www.reviewed.com,1,0,0,0,0,0,$30.42,$0.00,$0.00,$0.00,$0.00,$0.00,$6.08
9-5-2020,2284878-Tuck.com LLC-www.sleepfoundation.org/,32,$132.30,0,$132.30,1,0,$26.46,3.13,$82.69,$132.30,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,1,0,0,0,0,0,$26.46,$0.00,$0.00,$0.00,$0.00,$0.00,$5.29
9-5-2020,725033-ID.me Inc.-shop.id.me,67,$463.20,0,$463.20,3,0,$13.90,4.48,$20.75,$154.40,725033,"ID.me, Inc.",shop.id.me,3,0,0,0,0,0,$13.90,$0.00,$0.00,$0.00,$0.00,$0.00,$2.77
9-5-2020,2182271-Promo Codes Guide LLC-www.promocodes.guide,2,$215.10,0,$215.10,1,0,$6.45,50,$322.50,$215.10,2182271,Promo Codes Guide LLC ,www.promocodes.guide,1,0,0,0,0,0,$6.45,$0.00,$0.00,$0.00,$0.00,$0.00,$1.29
9-5-2020,136482-Vertive LLC (Offers.com LLC.)-offers.com,2,$139.30,0,$139.30,1,0,$4.18,50,$209.00,$139.30,136482,"Vertive, LLC (Offers.com, LLC.)",offers.com,1,0,0,0,0,0,$4.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.84
9-5-2020,314743-Skimbit Ltd-skimlinks.com,101,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,314743,Skimbit Ltd,skimlinks.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1584217-Trends Green-topnaturalmattresses.com,45,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1088116-Business Insider Inc.-www.businessinsider.com,39,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1088116,"Business Insider, Inc.",www.businessinsider.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,2053730-WW Affiliate-www.yourbestmattress247.com,38,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2053730,WW Affiliate,www.yourbestmattress247.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,389818-VigLink Inc.-www.viglink.com,16,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,389818,"VigLink, Inc.",www.viglink.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,201285-12 Interactive LLC-www.perkspot.com,12,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,201285,12 Interactive LLC,www.perkspot.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1014069-Mutzel Nutrition LLC-highintensityhealth.com/,12,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1014069,Mutzel Nutrition LLC,highintensityhealth.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,445875-Demand.io-knoji.com,11,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,445875,Demand.io,knoji.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1772040-Meredith Corporation-www.realsimple.com/,9,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1772040,Meredith Corporation,www.realsimple.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,140995-Savings.com Inc-www.savings.com,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,140995,Savings.com Inc,www.savings.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1413766-LinkGains (HK) Limited-www.hotdeals.com,5,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1413766,LinkGains (HK) Limited,www.hotdeals.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1238556-YIELDKIT GmbH-yieldkit.com,4,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1238556,YIELDKIT GmbH,yieldkit.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,745788-digidip GmbH-digidip.net,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,745788,digidip GmbH,digidip.net,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-5-2020,1242889-RIZKNOWS LLC-www.rizknows.com,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1242889,RIZKNOWS LLC,www.rizknows.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
