Date ,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-12-2020,445875-Demand.io-knoji.com,9,$421.80,0,$421.80,1,0,$12.65,11.11,$140.56,$421.80,445875,Demand.io,knoji.com,1,0,0,0,0,0,$12.65,$0.00,$0.00,$0.00,$0.00,$0.00,$2.53
9-12-2020,1519404-Mariano Cordoba-marianocordoba.me,1,$260.10,0,$260.10,1,0,$7.80,100,$780.00,$260.10,1519404,Mariano Cordoba,marianocordoba.me,1,0,0,0,0,0,$7.80,$0.00,$0.00,$0.00,$0.00,$0.00,$1.56
9-12-2020,314743-Skimbit Ltd-skimlinks.com,108,$199.00,0,$199.00,1,0,$29.85,0.93,$27.64,$199.00,314743,Skimbit Ltd,skimlinks.com,1,0,0,0,0,0,$29.85,$0.00,$0.00,$0.00,$0.00,$0.00,$5.97
9-12-2020,1250612-Refermate LLC-www.refermate.com,1,$96.00,0,$96.00,1,0,$2.88,100,$288.00,$96.00,1250612,"Refermate, LLC",www.refermate.com,1,0,0,0,0,0,$2.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.58
9-12-2020,1584217-Trends Green-topnaturalmattresses.com,53,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,725033-ID.me Inc.-shop.id.me,50,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,725033,"ID.me, Inc.",shop.id.me,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,1088116-Business Insider Inc.-www.businessinsider.com,43,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1088116,"Business Insider, Inc.",www.businessinsider.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,389818-VigLink Inc.-www.viglink.com,23,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,389818,"VigLink, Inc.",www.viglink.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,2053730-WW Affiliate-www.yourbestmattress247.com,22,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2053730,WW Affiliate,www.yourbestmattress247.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,1773960-Tuck.com LLC-tuck.com,18,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1773960,"Tuck.com, LLC",tuck.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,748814-Reviewed.com-www.reviewed.com,12,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,748814,Reviewed.com,www.reviewed.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-12-2020,2284878-Tuck.com LLC-www.sleepfoundation.org/,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
