Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-6-2020,748814-Reviewed.com-www.reviewed.com,13,$438.00,0,$438.00,2,0,$78.84,15.38,$606.46,$219.00,748814,Reviewed.com,www.reviewed.com,2,0,0,0,0,0,$78.84,$0.00,$0.00,$0.00,$0.00,$0.00,$15.76
9-6-2020,314743-Skimbit Ltd-skimlinks.com,118,$189.00,0,$189.00,1,0,$28.35,0.85,$24.03,$189.00,314743,Skimbit Ltd,skimlinks.com,1,0,0,0,0,0,$28.35,$0.00,$0.00,$0.00,$0.00,$0.00,$5.67
9-6-2020,136482-Vertive LLC (Offers.com LLC.)-offers.com,4,$464.10,0,$464.10,3,0,$13.92,75,$348.00,$154.70,136482,"Vertive, LLC (Offers.com, LLC.)",offers.com,3,0,0,0,0,0,$13.92,$0.00,$0.00,$0.00,$0.00,$0.00,$2.79
9-6-2020,725033-ID.me Inc.-shop.id.me,42,$212.00,0,$212.00,1,0,$6.36,2.38,$15.14,$212.00,725033,"ID.me, Inc.",shop.id.me,1,0,0,0,0,0,$6.36,$0.00,$0.00,$0.00,$0.00,$0.00,$1.27
9-6-2020,140995-Savings.com Inc-www.savings.com,10,$181.30,0,$181.30,1,0,$5.44,10,$54.40,$181.30,140995,Savings.com Inc,www.savings.com,1,0,0,0,0,0,$5.44,$0.00,$0.00,$0.00,$0.00,$0.00,$1.09
9-6-2020,1519404-Mariano Cordoba-marianocordoba.me,1,$139.30,0,$139.30,1,0,$4.18,100,$418.00,$139.30,1519404,Mariano Cordoba,marianocordoba.me,1,0,0,0,0,0,$4.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.84
9-6-2020,1088116-Business Insider Inc.-www.businessinsider.com,76,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1088116,"Business Insider, Inc.",www.businessinsider.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,1584217-Trends Green-topnaturalmattresses.com,36,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,2284878-Tuck.com LLC-www.sleepfoundation.org/,30,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,201285-12 Interactive LLC-www.perkspot.com,25,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,201285,12 Interactive LLC,www.perkspot.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,1773960-Tuck.com LLC-tuck.com,21,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1773960,"Tuck.com, LLC",tuck.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,389818-VigLink Inc.-www.viglink.com,20,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,389818,"VigLink, Inc.",www.viglink.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,445875-Demand.io-knoji.com,10,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,445875,Demand.io,knoji.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,1014069-Mutzel Nutrition LLC-highintensityhealth.com/,10,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1014069,Mutzel Nutrition LLC,highintensityhealth.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,1772040-Meredith Corporation-www.realsimple.com/,10,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1772040,Meredith Corporation,www.realsimple.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,2029250-CNN Interactive Group-www.cnn.com/cnn-underscored/,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2029250,CNN Interactive Group,www.cnn.com/cnn-underscored/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,2243506-Pannon Digital Ltd-www.weightedblanketguides.com/,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2243506,Pannon Digital Ltd,www.weightedblanketguides.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-6-2020,1413766-LinkGains (HK) Limited-www.hotdeals.com,5,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1413766,LinkGains (HK) Limited,www.hotdeals.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
