Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-8-2020,2316883-HigherDOSE LLC-higherdose.com/,2,$541.65,0,$541.65,3,0,$54.17,150,"$2,708.50",$180.55,2316883,HigherDOSE LLC,higherdose.com/,3,0,0,0,0,0,$54.17,$0.00,$0.00,$0.00,$0.00,$0.00,$10.83
9-8-2020,445875-Demand.io-knoji.com,12,$324.80,0,$324.80,2,0,$9.74,16.67,$81.17,$162.40,445875,Demand.io,knoji.com,2,0,0,0,0,0,$9.74,$0.00,$0.00,$0.00,$0.00,$0.00,$1.95
9-8-2020,514792-CBS Interactive Inc.-www.cnet.com,9,$249.00,0,$249.00,1,0,$29.88,11.11,$332.00,$249.00,514792,CBS Interactive Inc.,www.cnet.com,1,0,0,0,0,0,$29.88,$0.00,$0.00,$0.00,$0.00,$0.00,$5.98
9-8-2020,213636-SurfMyAds.com-www.promocodes.com,4,$207.20,0,$207.20,1,0,$6.22,25,$155.50,$207.20,213636,SurfMyAds.com,www.promocodes.com,1,0,0,0,0,0,$6.22,$0.00,$0.00,$0.00,$0.00,$0.00,$1.24
9-8-2020,136482-Vertive LLC (Offers.com LLC.)-offers.com,3,$181.30,0,$181.30,1,0,$5.44,33.33,$181.33,$181.30,136482,"Vertive, LLC (Offers.com, LLC.)",offers.com,1,0,0,0,0,0,$5.44,$0.00,$0.00,$0.00,$0.00,$0.00,$1.09
9-8-2020,1250612-Refermate LLC-www.refermate.com,1,$170.00,0,$170.00,1,0,$5.10,100,$510.00,$170.00,1250612,"Refermate, LLC",www.refermate.com,1,0,0,0,0,0,$5.10,$0.00,$0.00,$0.00,$0.00,$0.00,$1.02
9-8-2020,1663605-GSG North America LLC-coupons.businessinsider.com/,1,$169.00,0,$169.00,1,0,$16.90,100,"$1,690.00",$169.00,1663605,GSG North America LLC,coupons.businessinsider.com/,1,0,0,0,0,0,$16.90,$0.00,$0.00,$0.00,$0.00,$0.00,$3.38
9-8-2020,1088116-Business Insider Inc.-www.businessinsider.com,53,$132.30,0,$132.30,1,0,$26.46,1.89,$49.92,$132.30,1088116,"Business Insider, Inc.",www.businessinsider.com,1,0,0,0,0,0,$26.46,$0.00,$0.00,$0.00,$0.00,$0.00,$5.29
9-8-2020,314743-Skimbit Ltd-skimlinks.com,113,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,314743,Skimbit Ltd,skimlinks.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-8-2020,725033-ID.me Inc.-shop.id.me,53,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,725033,"ID.me, Inc.",shop.id.me,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
